"Variable","Definition","Values","Protocol","table"
"hh_i05_2","What was the 2nd item your children between 5 to 13 years old had for breakfast yesterday?","","Household Survey","household"
"hh_i05_2_other","What was the 2nd item your children between 5 to 13 years old had for breakfast yesterday? (other)","{1: 'Tea/Drink With Sugar', 2: 'Milk/Milk Tea With Sugar', 3: 'Solid Food Only', 4: 'Tea/Drink With Solid Food', 5: 'Porridge With Groundnut Flour', 6: 'Porridge With Solid Food', 7: 'Porridge With Sugar', 8: 'Porridge With Milk', 9: 'Porridge Without Sugar', 10: 'Breastmilk', 11: 'Nothing', 101: 'Porridge With Milk And Sugar'}","Household Survey","household"
"hh_i05_other","What was the 1st item your children between 5 to 13 years old had for breakfast yesterday? (other)","","Household Survey","household"
"hh_i06","Do all household members eat roughly the same diet?","{1: 'Yes', 2: 'No'}","Household Survey","household"
"hh_i07_1","men - Who in the household usually eats a more diverse variety of foods, a less diverse variety of foods?","{1: 'More Diverse', 2: 'Less Diverse', 3: 'Average'}","Household Survey","household"
"hh_i07_2","women - Who in the household usually eats a more diverse variety of foods, a less diverse variety of foods?","{1: 'More Diverse', 2: 'Less Diverse', 3: 'Average'}","Household Survey","household"
"hh_i07_3","Children (6-59 months)  - Who in the household usually eats a more diverse variety of foods, a less diverse variety of foods?","{1: 'More Diverse', 2: 'Less Diverse', 3: 'Average'}","Household Survey","household"
"hh_i08","In the last 12 months, have you been faced with a situation when you did not have enough food to feed the household?","{1: 'Yes', 2: 'No'}","Household Survey","household"
"hh_i09b","When the household experienced the incident last year","{1: 'January', 2: 'February', 3: 'March', 4: 'April', 5: 'May', 6: 'June', 7: 'July', 8: 'August', 9: 'September', 10: 'October', 11: 'November', 12: 'December'}","Household Survey","household"
"hh_i09b_1","If the household experience the incident in January of last year","","Household Survey","household"
"hh_i09b_2","If the household experience the incident in February of last year","","Household Survey","household"
"hh_i09b_3","If the household experience the incident in March of last year","","Household Survey","household"
"hh_i09b_4","If the household experience the incident in April of last year","","Household Survey","household"
"hh_i09b_5","If the household experience the incident in May of last year","","Household Survey","household"
"hh_i09b_6","If the household experience the incident in June of last year","","Household Survey","household"
"hh_i09b_7","If the household experience the incident in July of last year","","Household Survey","household"
"hh_i09b_8","If the household experience the incident in August of last year","","Household Survey","household"
"hh_i09b_9","If the household experience the incident in September of last year","","Household Survey","household"
"hh_i09b_10","If the household experience the incident in October of last year","","Household Survey","household"
"hh_i09b_11","If the household experience the incident in November of last year","","Household Survey","household"
"hh_i09b_12","If the household experience the incident in December of last year","","Household Survey","household"
"hh_i09a","When the household experienced the incident this year","{1: 'January', 2: 'February', 3: 'March', 4: 'April', 5: 'May', 6: 'June', 7: 'July', 8: 'August', 9: 'September', 10: 'October', 11: 'November', 12: 'December'}","Household Survey","household"
"hh_i09a_1","If the household experience the incident in January of this year","","Household Survey","household"
"hh_i09a_2","If the household experience the incident in February of this year","","Household Survey","household"
"hh_i09a_3","If the household experience the incident in March of this year","","Household Survey","household"
"hh_i09a_4","If the household experience the incident in April of this year","","Household Survey","household"
"hh_i09a_5","If the household experience the incident in May of this year","","Household Survey","household"
"hh_i09a_6","If the household experience the incident in June of this year","","Household Survey","household"
"hh_i09a_7","If the household experience the incident in July of this year","","Household Survey","household"
"hh_i09a_8","If the household experience the incident in August of this year","","Household Survey","household"
"hh_i09a_9","If the household experience the incident in September of this year","","Household Survey","household"
"hh_i09a_10","If the household experience the incident in October of this year","","Household Survey","household"
"hh_i09a_11","If the household experience the incident in November of this year","","Household Survey","household"
"hh_i09a_12","If the household experience the incident in December of this year","","Household Survey","household"
"hh_i10_1","First - What was the cause of this situation?","{1: 'Inadequate Household Stocks Due To Drought/Poor Rains', 2: 'Inadequate Household Food Stocks Due To Crop Pest Damage', 3: 'Inadequate Household Food Stocks Due To Small Land Size', 4: 'Inadequate Household Food Stocks Due To Lack Of Farm Inputs', 5: 'Food In The Market Was Very Expensive', 6: 'Not Able To Reach The Market Due To High Transportation Costs', 7: 'No Food In The Market', 8: 'Floods/Water Logging/Hailstorm', 9: 'No Money', 10: 'Other, Specify'}","Household Survey","household"
"hh_i10_1oth","First - Specify Other cause of the situation","","Household Survey","household"
"hh_i10_2","Second - What was the cause of this situation?","{1: 'Inadequate Household Stocks Due To Drought/Poor Rains', 2: 'Inadequate Household Food Stocks Due To Crop Pest Damage', 3: 'Inadequate Household Food Stocks Due To Small Land Size', 4: 'Inadequate Household Food Stocks Due To Lack Of Farm Inputs', 5: 'Food In The Market Was Very Expensive', 6: 'Not Able To Reach The Market Due To High Transportation Costs', 7: 'No Food In The Market', 8: 'Floods/Water Logging/Hailstorm', 9: 'No Money', 10: 'Other, Specify'}","Household Survey","household"
"hh_i10_2oth","Second - Specify Other cause of the situation","","Household Survey","household"
"hh_i10_3","Third - What was the cause of this situation?","{1: 'Inadequate Household Stocks Due To Drought/Poor Rains', 2: 'Inadequate Household Food Stocks Due To Crop Pest Damage', 3: 'Inadequate Household Food Stocks Due To Small Land Size', 4: 'Inadequate Household Food Stocks Due To Lack Of Farm Inputs', 5: 'Food In The Market Was Very Expensive', 6: 'Not Able To Reach The Market Due To High Transportation Costs', 7: 'No Food In The Market', 8: 'Floods/Water Logging/Hailstorm', 9: 'No Money', 10: 'Other, Specify'}","Household Survey","household"
"hh_i10_3oth","Third - Specify Other cause of the situation","","Household Survey","household"
"hh_j01","What is HH tenure status of main residence?","{1: 'Owner Occupied', 2: 'Employer Provided  - Subsidized', 3: 'Employer Provided - Free', 4: 'Rented', 5: 'Free', 6: 'Nomads'}","Household Survey","household"
"hh_j02","Do you have any documentation of ownership of the dwelling?","{1: 'Offer Of The Right Of Occupancy', 2: 'Title Deed For Land', 3: ""Letter Or Allocation  From Village Gov'T"", 4: 'Settlement Permit', 5: 'Traditional Right Of Occupancy', 6: 'Land Sale Agreement', 7: 'Inheritance Letter', 8: 'Other Title (Specify)', 9: 'Lease (For Renters)', 10: 'No Documentation At All'}","Household Survey","household"
"hh_j02oth","Specify the other type of documentation","","Household Survey","household"
"hh_j03","How much does this household pay per month to rent this dwelling?","","Household Survey","household"
"hh_j04_1","(Main dwelling) - How many habitable rooms in each unit does this household occupy?","","Household Survey","household"
"hh_j04_2","(Other dwelling) - How many habitable rooms in each unit does this household occupy? (other)","","Household Survey","household"
"hh_j05","The walls of the main dwelling are predominantly made of what materials?","{1: 'Poles (Including Bamboo), Branches, Grass', 2: 'Poles And Mud/Mud And Stones', 3: 'Mud Only', 4: 'Mud Bricks', 5: 'Baked/Burnt Bricks', 6: 'Concrete, Cement, Stones'}","Household Survey","household"
"hh_j05_other","The walls of the main dwelling are predominantly made of what materials? (other)","","Household Survey","household"
"hh_j06","The roof of the main dwelling is predominantly made of what materials?","{1: 'Grass (Thatch), Leaves, Banana Leaves, Bamboo', 2: 'Mud And Grass', 3: 'Concrete, Cement', 4: 'Metal Sheets (Gci)', 5: 'Asbestos Sheets', 6: 'Tiles', '1a': 'Thatch And Wood'}","Household Survey","household"
"hh_j06_other","The roof of the main dwelling is predominantly made of what materials? (other)","","Household Survey","household"
"hh_j07","The floor of the main dwelling is predominantly made of what materials?","{1: 'Earth', 2: 'Concrete, Cement, Tiles, Timber'}","Household Survey","household"
"hh_j07_other","The floor of the main dwelling is predominantly made of what materials? (other)","","Household Survey","household"
"hh_j08","How does the household dispose of its garbage?","{1: 'Collected By Government', 2: 'Collected By Private Firm', 3: 'Government Bin', 4: 'Disposal Within Compound', 5: 'None Or Unauthorized Heap', '5b': 'Burning', '5a': 'Designated Disposal Site'}","Household Survey","household"
"hh_j08_other","How does the household dispose of its garbage? (other)","","Household Survey","household"
"hh_j09","What is the main toilet facilities usually used in this household?","{1: 'No Toilet', 2: 'Flush Toilet', 3: 'Pour Flush', 4: 'Kvip/Vip', 5: 'Ecosan', 6: 'Unimproved Pit Latrine (Slab Not Washable)', 7: 'Improved Pit Latrine (Slab Washable)'}","Household Survey","household"
"hh_j09_other","What is the main toilet facilities usually used in this household? (other)","","Household Survey","household"
"hh_j10","Do you share this toilet facility with other households?","{1: 'Yes', 2: 'No'}","Household Survey","household"
"hh_j11","Major fuel used for cooking?","{1: 'Firewood', 2: 'Paraffin/Kerosene', 3: 'Electricity', 4: 'Gas Charcoal', 5: 'Animal Residual', 6: 'Gas (Biogas)'}","Household Survey","household"
"hh_j11_other","Major fuel used for cooking? (other)","","Household Survey","household"
"hh_j12","Major fuel used for lighting?","{1: 'Electricity', 2: 'Solar', 3: 'Gas', 4: 'Gas(Biogas)', 5: 'Lamp Oil ', 6: 'Candle ', 7: 'Firewood', 8: 'Private  Generator'}","Household Survey","household"
"hh_j12_other","Major fuel used for lighting? (other)","","Household Survey","household"
"hh_j13","What is HH main source of electricity?","{1: 'National Grid', 2: 'Community Generator', 3: 'Solar Panels', 4: 'Own Generator', 5: 'Car Battery', 6: 'Motorcycle Battery'}","Household Survey","household"
"hh_j13_other","What is HH main source of electricity? (other)","","Household Survey","household"
"hh_j14","What is the household's main source of drinking water in the rainy season?","{0: 'Household does not use water for this purpose', 1: 'Piped Water Inside Dwelling', 2: 'Private Outside Standpipe/Tap', 3: 'Public Standpipe/Tap', 4: 'Neighbouring Household', 5: 'Water Vendor', 6: 'Subsidized Water Vending Station', 7: 'Water Truck/Tanker Service', 8: 'Protected Well With Pump', 9: 'Unprotected Well With Pump', 10: 'Protected Well Without Pump', 11: 'Unprotected Well Without Pump', 12: 'River, Lake, Spring, Pond', 13: 'Rainwater', 14: 'Other, Specify'}","Household Survey","household"
"hh_j14_oth","specify other","","Household Survey","household"
"hh_j15","What is the household's main source of drinking water in the dry season?","{0: 'Household does not use water for this purpose', 1: 'Piped Water Inside Dwelling', 2: 'Private Outside Standpipe/Tap', 3: 'Public Standpipe/Tap', 4: 'Neighbouring Household', 5: 'Water Vendor', 6: 'Subsidized Water Vending Station', 7: 'Water Truck/Tanker Service', 8: 'Protected Well With Pump', 9: 'Unprotected Well With Pump', 10: 'Protected Well Without Pump', 11: 'Unprotected Well Without Pump', 12: 'River, Lake, Spring, Pond', 13: 'Rainwater', 14: 'Other, Specify'}","Household Survey","household"
"hh_j15_oth","specify other","","Household Survey","household"
"hh_j16_1","First Measure - What measures does this household take to ensure the safety of drinking water?","{1: 'Boil', 2: 'Use Water Filter', 3: 'Strain Through A Cloth', 4: 'Treated With Chemicals', 5: 'Bottled Water', 6: 'Other, Specify', 7: 'None', '5a': 'Sachet (Pure Water)'}","Household Survey","household"
"hh_j16_1oth","specify other safety measure","","Household Survey","household"
"hh_j16_2","Second Measure","{1: 'Boil', 2: 'Use Water Filter', 3: 'Strain Through A Cloth', 4: 'Treated With Chemicals', 5: 'Bottled Water', 6: 'Other, Specify', 7: 'None', '5a': 'Sachet (Pure Water)'}","Household Survey","household"
"hh_j16_2oth","specify other safety measure","","Household Survey","household"
"hh_j17_1","What is the household's main source of water for cooking?","{0: 'Household does not use water for this purpose', 1: 'Piped Water Inside Dwelling', 2: 'Private Outside Standpipe/Tap', 3: 'Public Standpipe/Tap', 4: 'Neighbouring Household', 5: 'Water Vendor', 6: 'Subsidized Water Vending Station', 7: 'Water Truck/Tanker Service', 8: 'Protected Well With Pump', 9: 'Unprotected Well With Pump', 10: 'Protected Well Without Pump', 11: 'Unprotected Well Without Pump', 12: 'River, Lake, Spring, Pond', 13: 'Rainwater', 14: 'Other, Specify'}","Household Survey","household"
"hh_j17_1oth","specify other water source for cooking","","Household Survey","household"
"hh_j17_2","What is the household's main source of water for cooking?","{0: 'Household does not use water for this purpose', 1: 'Piped Water Inside Dwelling', 2: 'Private Outside Standpipe/Tap', 3: 'Public Standpipe/Tap', 4: 'Neighbouring Household', 5: 'Water Vendor', 6: 'Subsidized Water Vending Station', 7: 'Water Truck/Tanker Service', 8: 'Protected Well With Pump', 9: 'Unprotected Well With Pump', 10: 'Protected Well Without Pump', 11: 'Unprotected Well Without Pump', 12: 'River, Lake, Spring, Pond', 13: 'Rainwater', 14: 'Other, Specify'}","Household Survey","household"
"hh_j17_2oth","specify other water source for cooking","","Household Survey","household"
"hh_j18_1","What is the household's main source of water for washing (for example laundry, bathing, etc)?","{0: 'Household does not use water for this purpose', 1: 'Piped Water Inside Dwelling', 2: 'Private Outside Standpipe/Tap', 3: 'Public Standpipe/Tap', 4: 'Neighbouring Household', 5: 'Water Vendor', 6: 'Subsidized Water Vending Station', 7: 'Water Truck/Tanker Service', 8: 'Protected Well With Pump', 9: 'Unprotected Well With Pump', 10: 'Protected Well Without Pump', 11: 'Unprotected Well Without Pump', 12: 'River, Lake, Spring, Pond', 13: 'Rainwater', 14: 'Other, Specify'}","Household Survey","household"
"hh_j18_1oth","specify other water source for laundry","","Household Survey","household"
"hh_j18_2","What is the household's main source of water for washing (for example laundry, bathing, etc)?","{0: 'Household does not use water for this purpose', 1: 'Piped Water Inside Dwelling', 2: 'Private Outside Standpipe/Tap', 3: 'Public Standpipe/Tap', 4: 'Neighbouring Household', 5: 'Water Vendor', 6: 'Subsidized Water Vending Station', 7: 'Water Truck/Tanker Service', 8: 'Protected Well With Pump', 9: 'Unprotected Well With Pump', 10: 'Protected Well Without Pump', 11: 'Unprotected Well Without Pump', 12: 'River, Lake, Spring, Pond', 13: 'Rainwater', 14: 'Other, Specify'}","Household Survey","household"
"hh_j18_2oth","specify other water source for laundry","","Household Survey","household"
"hh_j19_1","What is the household's main source of water for gardening?","{0: 'Household does not use water for this purpose', 1: 'Piped Water Inside Dwelling', 2: 'Private Outside Standpipe/Tap', 3: 'Public Standpipe/Tap', 4: 'Neighbouring Household', 5: 'Water Vendor', 6: 'Subsidized Water Vending Station', 7: 'Water Truck/Tanker Service', 8: 'Protected Well With Pump', 9: 'Unprotected Well With Pump', 10: 'Protected Well Without Pump', 11: 'Unprotected Well Without Pump', 12: 'River, Lake, Spring, Pond', 13: 'Rainwater', 14: 'Other, Specify'}","Household Survey","household"
"hh_j19_1oth","specify other water source for gardening","","Household Survey","household"
"hh_j19_2","What is the household's main source of water for gardening?","{0: 'Household does not use water for this purpose', 1: 'Piped Water Inside Dwelling', 2: 'Private Outside Standpipe/Tap', 3: 'Public Standpipe/Tap', 4: 'Neighbouring Household', 5: 'Water Vendor', 6: 'Subsidized Water Vending Station', 7: 'Water Truck/Tanker Service', 8: 'Protected Well With Pump', 9: 'Unprotected Well With Pump', 10: 'Protected Well Without Pump', 11: 'Unprotected Well Without Pump', 12: 'River, Lake, Spring, Pond', 13: 'Rainwater', 14: 'Other, Specify'}","Household Survey","household"
"hh_j19_2oth","specify other water source for gardening","","Household Survey","household"
"hh_j20","How satisfied are you in terms of the quality of the water delivered for drinking?","{1: 'Very Satisfied', 2: 'Somewhat Satisfied', 3: 'Neither Satisfied Nor Unsatisfied', 4: 'Somewhat Unsatisfied', 5: 'Very Unsatisfied'}","Household Survey","household"
"hh_j20b_02","In the last 12 months, have you been faced with a situation when your household  did not have enough water to meet your family needs?","{1: 'Yes', 2: 'No'}","Household Survey","household"
"hh_j20c_02","When did you experience this incident ?","{1: 'January', 2: 'February', 3: 'March', 4: 'April', 5: 'May', 6: 'June', 7: 'July', 8: 'August', 9: 'September', 10: 'October', 11: 'November', 12: 'December'}","Household Survey","household"
"hh_j20c_02_1","If the household experienced the incident in January","","Household Survey","household"
"hh_j20c_02_10","If the household experienced the incident in October","","Household Survey","household"
"hh_j20c_02_11","If the household experienced the incident in November","","Household Survey","household"
"hh_j20c_02_12","If the household experienced the incident in December","","Household Survey","household"
"hh_j20c_02_2","If the household experienced the incident in February","","Household Survey","household"
"hh_j20c_02_3","If the household experienced the incident in March","","Household Survey","household"
"hh_j20c_02_4","If the household experienced the incident in April","","Household Survey","household"
"hh_j20c_02_5","If the household experienced the incident in May","","Household Survey","household"
"hh_j20c_02_6","If the household experienced the incident in June","","Household Survey","household"
"hh_j20c_02_7","If the household experienced the incident in July","","Household Survey","household"
"hh_j20c_02_8","If the household experienced the incident in August","","Household Survey","household"
"hh_j20c_02_9","If the household experienced the incident in September","","Household Survey","household"
"hh_k2_10_a","What was the total number of days in which any meal was shared with Children 0-5 years","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_10_b","What was the total number of days in which any meal was shared with Children 6-15 years","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_10_c","What was the total number of days in which any meal was shared with Adults 16-65 years","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_10_d","What was the total number of days in which any meal was shared with People over 65 years old","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_11_a","What was the total number of meals that were shared over past 7 days with Children 0-5 years","","Household Survey","household"
"hh_k2_11_b","What was the total number of meals that were shared over past 7 days with Children 6-15 years","","Household Survey","household"
"hh_k2_11_c","What was the total number of meals that were shared over past 7 days with Adults 16-65 years","","Household Survey","household"
"hh_k2_11_d","What was the total number of meals that were shared over past 7 days with People over 65 years old","","Household Survey","household"
"hh_k2_8_a","Over the past one week (7 days), how many days did you or others in your household consume any Cereals, Grains and Cereal Products","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_8_b","Over the past one week (7 days), how many days did you or others in your household consume any Roots, Tubers, and Plantains","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_8_c","Over the past one week (7 days), how many days did you or others in your household consume any Nuts and Pulses","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_8_d","Over the past one week (7 days), how many days did you or others in your household consume any Vegetables","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_8_e","Over the past one week (7 days), how many days did you or others in your household consume any Meat, Fish and Animal Products","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_8_f","Over the past one week (7 days), how many days did you or others in your household consume any Fruits","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_8_g","Over the past one week (7 days), how many days did you or others in your household consume any Milk/Milk Products","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_8_h","Over the past one week (7 days), how many days did you or others in your household consume any Fats/Oil","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_8_i","Over the past one week (7 days), how many days did you or others in your household consume any Sugar/Sugar Products/Honey","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_8_j","Over the past one week (7 days), how many days did you or others in your household consume any Spices/Condiments","{0: '0', 1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 6: '6', 7: '7'}","Household Survey","household"
"hh_k2_9","Over the past one week (7 days), did any people that you did not list as household members [READ LIST FROM HH ROSTER] eat any meals in your household?","{1: 'Yes', 2: 'No'}","Household Survey","household"
"ag_date_of_interview","Date of agricultural portion of interview","","Agriculture Survey","household"
"ag_fields","Did you or anyone in this household own or cultivate any FIELDs in the Long Rainy Season?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household"
"ag_year","What year was the last completed Short Rainy Season / Minor Cropping Season?","","Agriculture Management Intensity Survey","household"
"ag12b_09a","Are you or any member of your household a member of a microfinance or savings group?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household"
"ag12a_10","Please indicate the micro finance or credit group that you received assistance from","{2: 'Susu', 3: 'Market Women/Middle Men', 4: 'Masloc', 5: 'Rural And Community Banks', 6: 'Savings And Loans Companies', 7: 'Credit Unions', 8: 'Financial Ngos', 9: 'Saaco', 10: 'Vsla'}","Agriculture Management Intensity Survey","household"
"ag12a_10_other","Please indicate the micro finance or credit group that you received assistance from (other)","","Agriculture Management Intensity Survey","household"
"farm_data_collection_date","Date of Sampling and Weighing Soil Samples","","Farm Field Soil Sampling and Processing","household"
"farmlab_date","Date of weighing dried samples","","Farm Field Soil Sampling and Processing","household"
"farmlab_selected_first_field","Selected first field for soil sampling","{'M2': 'M2', 'None': 'None', 'M6': 'M6', 'M1': 'M1', 'M8': 'M8', 'M5': 'M5', 'M7': 'M7', 'M3': 'M3', 'M4': 'M4'}","Farm Field Soil Sampling and Processing","household"
"farmlab_selected_second_field","Selected second field for soil sampling","{'M2': 'M2', 'None': 'None', 'M6': 'M6', 'M1': 'M1', 'M8': 'M8', 'M5': 'M5', 'M7': 'M7', 'M3': 'M3', 'M4': 'M4'}","Farm Field Soil Sampling and Processing","household"
"yield_data_collection_date","Date of yields data sampling","","Yields Sampling","household"
"yield_number_of_fields","Number of fields selected for yields sampling","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}","Yields Sampling","household"
"yield_selected_first_field","Selected first field for yields sampling","{'M2': 'M2', 'None': 'None', 'M6': 'M6', 'M1': 'M1', 'M8': 'M8', 'M5': 'M5', 'M7': 'M7', 'M3': 'M3', 'M4': 'M4'}","Yields Sampling","household"
"yield_selected_second_field","Selected second field for yields sampling","{'M2': 'M2', 'None': 'None', 'M6': 'M6', 'M1': 'M1', 'M8': 'M8', 'M5': 'M5', 'M7': 'M7', 'M3': 'M3', 'M4': 'M4'}","Yields Sampling","household"
"yieldlab_data_collection_date","Date of weighing dried yields samples","","Yields Sampling","household"
"yieldlab_number_of_fields","Number of fields with dried yields samples","{1: 1, 2: 2}","Yields Sampling","household"
"id","Unique Id for the record","","","household_cropbyprod"
"parent_id","ID of the parent table (household)","","","household_cropbyprod"
"country","Country","","","household_cropbyprod"
"landscape_no","Landscape Number","","","household_cropbyprod"
"hh_refno","Household number","","","household_cropbyprod"
"round","The round of data collection","","","household_cropbyprod"
"latitude","Latitude of the landscape centerpoint","","","household_cropbyprod"
"longitude","Longitude of the landscape centerpoint","","","household_cropbyprod"
"ag_date_of_interview","Date of interview","","Agriculture Management Intensity Survey","household_cropbyprod"
"crop_name","Select crops to be included in Section 9?","{300: 'Green Tomato', 11: 'Maize', 12: 'Paddy', 13: 'Sorghum', 14: 'Bulrush Millet', 15: 'Finger Millet', '71b': 'Banana Beer', 17: 'Barley', 18: 'Black Pepper', 19: 'Seaweed', 302: 'Bamboo', 22: 'Sweet Potatoes', 23: 'Irish Potatoes', 24: 'Yams', 25: 'Cocoyams', 26: 'Onions', 27: 'Ginger', 31: 'Beans', 32: 'Cowpeas', 33: 'Green Gram', 34: 'Pigeon Pea', 35: 'Chickpeas', 36: 'Bambara Nuts', 37: 'Field Peas', 38: 'Malay Apple', 39: 'Star Fruit', 41: 'Sunflower', 42: 'Sesame/Simsim', 43: 'Groundnut', 44: 'Palm Oil', 45: 'Coconut', 46: 'Cashew Nut', 303: 'Firewood/Fodder', 48: 'Castor Seed', 305: 'Medicinal Plant', 306: 'Fence Tree', 51: 'Tobacco', 52: 'Pyrethrum', 53: 'Sisal', 54: 'Coffee', 55: 'Tea', 56: 'Cocoa', 57: 'Rubber', 58: 'Wattle', 59: 'Kapok', 60: 'Sugar Cane', 61: 'Cardamom ', '71c': 'Banana Sweet', 63: 'Tamarind', 64: 'Cinnamon', 65: 'Nutmeg', 66: 'Clove', 67: 'Bread Fruit', 68: 'Pomelo', 69: 'Jack Fruit', 70: 'Passion Fruit', 72: 'Avocado', 73: 'Mango', 74: 'Papaw', 75: 'Pineapple', 76: 'Orange', 77: 'Grapefruit', 78: 'Grapes', 79: 'Mandarin', 80: 'Guava', 81: 'Blood Fruit', 82: 'Apples', 851: 'Lime', 852: 'Lemon', 301: 'Monkeybread/Baobab', 86: 'Cabbage', 87: 'Tomatoes', 88: 'Spinach', 89: 'Carrot', 90: 'Chilies', 91: 'Amaranths', 92: 'Pumpkins', 93: 'Cucumber', 94: 'Egg Plant', 95: 'Water Mellon', 96: 'Cauliflower', 97: 'Durian', 98: 'Bilimbi', 99: 'Rambutan', 100: 'Okra', 101: 'Kiwi', 62: 'Jute', 21: 'Cassava', 47: 'Soyabeans', '71a': 'Banana Food', 304: 'Timber', 200: 'Custard Apple', 201: 'God Fruit', 202: 'Mitobo', 203: 'Plum', 204: 'Peaches', 205: 'Pomegranate', 210: 'Date', 211: 'Tungamaa', 50: 'Cotton', 16: 'Wheat', 'None': 'None', 83: 'Pears', 84: 'Peaches'}","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_03","What is the [PROCESSED PRODUCT] produced from this crop?","{1: 'Flour', 2: 'Seed', 3: 'Palm Oil', 4: 'Juice', '3a': 'Simsim Oil', 6: 'Pulp', 7: 'Rubber', 5: 'Thread'}","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_03_other","What is the [PROCESSED PRODUCT] produced from this crop? (other)","","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_03_by","What is the [BY-PRODUCT] produced from this crop?","{16: 'Outer Cover', 17: 'No Waste', '16a': 'Seed Cake', 9: 'Maize Bran (Husk)', 10: 'Wet Husk (Wheat, Barley)', 11: 'Rice Cover', 12: 'Juice', 13: 'Thread', 14: 'Pulp', 15: 'Palm Oil'}","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_03_by_other","What is the [BY-PRODUCT] produced from this crop? (other)","","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_03_product_name","Product Name","","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_04_1","AMOUNT - What is the quantity produced in the last 12 months?","","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_04_2","UNIT","{1: 'Kg', 2: 'Liter', 3: 'Milliliter'}","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_07","AMOUNT - How much [CROP] did you use as input for the sold [BY-PRODUCT/PROCESSED PRODUCT]?","","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_07_2","UNIT","{1: 'Kg', 2: 'Liter', 3: 'Milliliter'}","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_05","Was any [BY-PRODUCT/PROCESSED PRODUCT] sold?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_06_1","AMOUNT - How much was sold?","","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_06_2","UNIT","{1: 'Kg', 2: 'Liter', 3: 'Milliliter'}","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_08","What was total sales in local currency?","","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_8a","Did you give out [BY-PRODUCT/PROCESSED PRODUCT] for in-kind/barter?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_8b_1","AMOUNT - How much was given away?","","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_8b_2","UNIT","{1: 'Kg', 2: 'Liter', 3: 'Milliliter'}","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_10","Did you incur any other expenses such as labor costs, additional inputs etc. in the production of [BY-PRODUCT/PROCESSED PRODUCT]?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_cropbyprod"
"ag09_11","What were the total costs of these additional expenses?","","Agriculture Management Intensity Survey","household_cropbyprod"
"is_processed","Is the product a result of procussing","","Agriculture Management Intensity Survey","household_cropbyprod"
"is_byproduct","Is the product a by-product?","","Agriculture Management Intensity Survey","household_cropbyprod"
"id","Unique Id for the record","","","household_expenditure"
